,name,copy
149,株式会社MEルミナス | 今、稼ぎたい人にピッタリ! ワクワクする物や人との出会い★,稼げる×楽しく働ける！【買取STAFF】◆未経験、大歓迎！ 正社員
150,株式会社杉並モータース | 【業界屈指の好待遇】★平均月収45万円 ★有休取得率ほぼ100％,【ロードサービス】＼当社に入社して年収200万円UPの社員も！／ 正社員
151,大基興業有限会社 | 入社祝い金あり／完全週休2日・完全週休3日も選べます,月給33万円スタートもOK【メンテナンススタッフ】※ほぼ残業なし 正社員
152,株式会社エヌ事業hoop | あなたの成長を応援します！ ★年休120日以上 ★基本定時退社,建築施工の【法人営業】★月収80万円可 ★土日祝休み ★未経験OK 正社員
153,株式会社フジナガ | 当社が業界トップクラスの実績を出すまでになった道のりをご紹介,物売りではなく課題解決を提案【法人営業】完全週休2日(土日祝) 正社員
154,日産プリンス西東京販売株式会社 | 【世界の日産グループ】賞与実績4.1ヶ月★残業月平均16.2時間,多摩エリアに根ざして、自ら仕掛ける自動車販売を！【営業】 正社員
155,エムケイホールディングス株式会社 | 【大阪府緊急雇用対策に賛同】70歳まで同じ給与体系,確かな企業力で安定性抜群！【観光コンシェルジュ(ドライバー)】 正社員
156,GMO TECH株式会社 | ★東証マザーズ上場 ★面接から入社まで全てオンラインで実施！,【広告営業】未経験からWebマーケティングのスキルを習得！ 正社員
157,株式会社ロジエンス | TOYOTAグループのパートナー／●有給取得率 7割以上 ●年休121日,【サポートエンジニア】★賞与平均5.2ヵ月 & 月収例24.3万円以上 正社員
158,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【総合職(製造・組立・検品等)】★関東エリア限定募集 正社員
159,株式会社京進 | 東証二部上場,"【塾教室長】将来は独立を目指し、教室長として""経営""を学べる！ 契約社員"
160,UTコミュニティ株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,カンタン作業が中心！【軽作業スタッフ】★月収34万円以上も可能 正社員
161,中西商会株式会社 | ★好きな時に働き、休みたい時に休める★1日平均3万円稼ぐ人も！,車に関する知識が少しあるだけでOK【取付スタッフ】完全直行直帰 業務委託
162,株式会社昇建 | 【大阪府緊急雇用対策に賛同】官公庁案件中心★資格取得支援あり,高収入を目指せる！【総合職（施工管理・作業スタッフ）】 正社員
163,株式会社富士ホーム | 地元不動産のエキスパート！ノルマなしで賞与50万円～300万円,【不動産売買営業】★経験・資格不問★土日祝休★残業月25H以下 正社員
164,株式会社AREAONE | 【千葉に根差した総合建築会社】経験者も未経験者も大歓迎！,＼現場へは直行直帰／ゼロから育てる前提の採用【技術系総合職】 正社員
165,株式会社京進 | 東証二部上場,【塾経営者】転職して社員になるより、独立して「社長」になる！ FCオーナー
166,株式会社アローペイント | ■20代～30代が活躍中■賞与年2回【大阪府緊急雇用対策に賛同】,変化の波を乗りこなす！日々進化を繰り返す【営業】年収1000万可 正社員
167,ナカソネ住設株式会社　 | TOTOアフターサービス正規代理店★充実の手当・インセンティブ★,【住設の施工スタッフ】★豊富な休暇制度・残業月20h程度 正社員
168,ナカソネ住設株式会社 | ★TOTOアフターサービス正規代理店★充実の手当・インセンティブ,【TOTO製品メンテナンススタッフ】未経験歓迎/豊富な休暇制度 正社員
169,社会福祉法人ひまわり会 | 賞与年4.8ヶ月＆業界屈指の高収入を実現！日祝固定休み！,【保育スタッフ】★産育休の取得＆復帰実績も多数！残業ほぼなし 正社員
170,株式会社トラストワン | 面接一回のみ／平均年収700万円以上／週休2日で働きやすさ◎,【住まいアドバイザー】※月給27万～＋賞与年3回！ ※転勤なし 正社員
171,株式会社タシロ | 【創業70年】ここ4年間増収増益！コロナの影響もほぼなし！,営業ビギナーに最適の【提案営業】★社宅あり/UIターン歓迎！ 正社員
172,株式会社ハンデックス | 新拠点続々立ち上げ中！全国展開の人材総合サービス企業！,【営業所長】企業に属しながら“個人事業主”視点で組織運営！ 正社員
173,T.T.C株式会社 | 大手建設会社と安定取引＊遠方からの応募大歓迎！『社員寮完備』,スキルを身につけて、しっかり稼げる【技術系総合職】 正社員
174,株式会社ガーヴェラ | 年齢制限なし！”売買仲介の経験”をお持ちの方【限定】,【不動産コンサル】フレックス制／完全反響／選べる給与スタイル 正社員
175,株式会社APC | ★残業1日1時間以下★週休2日制★20～30代が活躍中,直行直帰型【買取営業】■未経験で月収70万以上可■残業ほぼナシ 正社員
176,日本テンポラリーハウス株式会社 | 社員の全員が未経験スタートなので安心！土日面接OK！,未経験OK【住まいのコーディネーター】年休125日★20代活躍中！ 正社員
177,ケイアイスター不動産株式会社 | 【東証一部上場】※完休2日・残業月20h程度などオフも充実！,業界のリーディングカンパニーで活躍【提案営業】※地域限定募集 正社員
178,JTA株式会社 | 【転職支援給付金5万円を試用期間後に支給】◆土日休み◆面接1回,社会貢献に繋がる！通信インフラの【営業】◆社員平均月収50万超 正社員
179,株式会社博全社 | 千葉県に根差し創業100年以上の歴史を持つ老舗企業,お客様の心に寄り添う【営業】◆未経験歓迎／月平均月収35万円◆ 正社員
180,株式会社カワデン | ★面接1回(条件の合う方全員面接)★土日祝休み&年間休日120日,実務未経験OK！【電気工事スタッフ】★残業ほぼナシ★定着率抜群 正社員
181,株式会社クレス不動産 | 反響営業だから、未経験でもムリなく稼げる＊　ノルマもなし！,《20～30代中心に活躍中！完休2日》新築住宅の【不動産営業】 正社員
182,株式会社絆 | ★エコな事業で成長中の企業 ★営業まったくの未経験でもOK！,入社1年目でも月収50万可能！余裕が生まれる【買取営業】 正社員
183,株式会社えびす不動産 | 【センチュリー21「優秀店舗事務表彰」受賞】オシャレな自社ビル,あったかい不動産会社で稼げる営業に！【提案営業】月給26万円～ 正社員
184,株式会社ウンノハウス | 慣れ親しんだ場所で働きたいetc...UIターン歓迎!引越代サポート,業績賞与年4回！ワークライフバランスを実現☆【反響営業】 正社員
185,トランスコスモス株式会社 | 【東証一部上場】◎WEB面接可 ◎年休121日 ◎福利厚生充実,成長中の拠点で新たなキャリアをスタート！【運営管理】未経験OK 正社員
186,株式会社メディア工房 | 東証マザーズ上場★Web占いコンテンツで業界トップクラスの実績,【女性向けコンテンツ企画スタッフ】未経験から月給28万スタート 正社員
187,株式会社WAOH | 「With All Our Heart」WAOHであなたらしい働き方を実現◎,【内装ディレクター】経験者優遇／土日祝休み／月給30万円～ 正社員
188,医療法人社団佑健会 | 【全国に17医院を展開する急成長の医療法人】◇土日祝休み,3年後100医院を目指す！歯科グループの【秘書】★経営幹部候補 正社員
189,栃木アンカー工業株式会社 | 急成長を続ける建設会社！福利厚生の充実度はエリアトップクラス,【管理部(総務・経理・人事)】管理職候補★年収500万円以上可能 正社員
190,光和電設株式会社 | 100%直請け★アパホテルやドン・キホーテ、コメリなどの実績多数,"技術よりも""温かい心""を持った方を採用します！【 電気工事士 】 正社員"
191,株式会社エラン | まずは面談に気軽にお越しください！＜Web面談実施中！＞,未経験から挑戦できる【営業職】★充実した研修制度を用意！ 紹介予定派遣
192,SOMPOケア株式会社 | 【SOMPOホールディングスグループ】週休2日制★残業月平均7.4h,＼*全国採用*／30歳以下★未経験・第二新卒歓迎【介護スタッフ】 正社員
193,大長産業株式会社 | 創業30年以上続く安定企業で人生を豊かにー年収1000万円以上も◎,【提案営業】未経験歓迎／月給30万円～／40代が活躍中の会社 正社員
194,株式会社タイセイリサイクル | リサイクル事業を展開＊環境省「エコアクション21」の認証取得,高収入×力仕事なし☆未経験でも始めやすい【工場作業スタッフ】 正社員
195,ブリリアント・フューチャー・パートナーズ株式会社 | イメージを覆す働きやすさ！★土日休・年休120日可・定時退社可,テレアポ・ノルマなし完全反響型【不動産営業】★30代～活躍中！ 正社員
196,株式会社アップタウン | ★人気が高い世田谷・目黒エリアで30年の歴史を誇る・転勤なし★,完全反響型の【不動産営業】■飛び込み・テレアポなし！ 正社員
197,株式会社日本住宅販売 | 【住まい全般のメンテナンスに対応】★人物重視の採用★増員募集,既存のお客様への【フォロー営業】※未経験OK※残業なし/週休2日 正社員
198,株式会社BLENDY | 『不動産』に関わる業務をトータルに手掛ける成長企業,未経験OK！【不動産アドバイザー】★年収1000万円可/土日休み 正社員
199,株式会社モザイクワーク | 営業スキルを活かして早期昇進を目指そう★地方を熱くする仕事★,人材総合サービスのスタートアップベンチャー【営業】経験者歓迎 正社員
200,株式会社グロリアース | ★約2ヶ月の業界研修期間あり　★8月に50代の方2名入社しました,【 営業 】平均月収40万／月収100万も目指せます！*経験者採用 正社員
201,朝日土地建物株式会社 | 老舗企業◎移動は車が中心◎完全週休2日制◎長期休暇取得可能,100％反響営業！【提案営業】未経験育成に定評あり！ 正社員
202,株式会社LNJ関東 | ★平均月収30万円★完全週休2日,【総合職(一般事務/運行管理)】★安定企業で高収入を！ 正社員
203,リーガルボード株式会社 | 【設立以来、11年連続売上UP】◆広告代理業を展開する急成長企業,”レア求人”看板広告の【営業】◆残業ほぼなし・直行直帰OK 正社員
204,株式会社テック | 【設立以来、黒字経営】社員寮(2万円)・3LDKの社宅(5万円)完備！,《面接確約》年収500万～600万円も可能！【土木系総合職】 正社員
205,昭和ルーフリモ株式会社 | 【★リモートワーク推進★18～19時には退社 ★社用車通勤】,定着率の高さが自慢【やね工事のルート管理スタッフ】★未経験OK 正社員
206,株式会社タイセイ・ハウジーリバース | 売上高110億円の成長企業★完全週休2日★転勤なし★UIターン歓迎,リノベーションの【設計】賞与年4回/水・日・祝休/前職給与保証 正社員
207,株式会社Ｎｏ.1 | 皆様のNo.1ビジネスパートナーを目指し、業務拡大中！,【提案営業】☆20代の男女が活躍中♪☆20代役職者も多数☆ 正社員
208,株式会社ハビタット | 未経験からスタート歓迎／今までの接客などの経験を活かせます！,【法人営業】完休2日制（平日or土日の選択可）／月給35万円～★ 正社員
209,大志株式会社 | 昨年比200%成長！ネット集客に注力したトータル不動産カンパニー,【売買仲介営業】★年収1000万円目指せる ★完全反響スタイル 正社員
210,株式会社テクトン | WEB面接可／20代・30代活躍中／年間休日125日／土日祝休み,営業経験を活かす！転勤なし！【人材営業＆コーディネーター】 正社員
211,株式会社キャリアサービス | 【年休120日以上】【産休育休実績あり】★20代・30代活躍中！,未経験月給35万保証!実現可能な理由は?【人材コーディネーター】 正社員
212,株式会社アフターホーム | ★春・夏・冬に大型連休あり 【大阪府緊急雇用対策に賛同】,【営業職】未経験スタートを応援◎月給25万円START★ 正社員
213,株式会社Presidents Free Style | 【大阪府緊急雇用対策に賛同】 #入社祝い金あり,話題の光ファイバーを敷設する【通信工事スタッフ】※未経験歓迎 正社員
214,株式会社匠オフィス | ＜名東区で6つの個別指導塾を運営＞★10日程の長期連休×年3回！,＼ 年休120日&残業ほぼナシ♪／【 サポート事務 】 ※未経験OK 正社員
215,株式会社日本アムスコ | 大手の最先端技術開発に《CAE解析》で関わる★年間休日125日,【シミュレーションエンジニア】★未経験歓迎★残業20時間程度 正社員
216,株式会社マイホーム | 「センチュリー２１」でお馴染み！ 収入もスキルアップも充実！,【提案営業】◎未経験歓迎 ◎完全反響営業 ★インセンティブ充実 正社員
217,株式会社清水土木 | ＜面接保証＞未経験でも月給25万円から/残業少なめ/千葉密着,20-30代活躍中！イチから育てます！【作業スタッフ】残業5h以下 正社員
218,株式会社ネオ・ストラクト | 【やる気と上昇志向のある方、歓迎！】*土日祝休み,LED間接照明メーカーの【提案営業】*月給40万円スタート 正社員
219,株式会社Pledge Clover | 可能性がまずますます広がる！自社オウンドメディアもスタート！,【営業(企画／提案)】※平均年齢26歳が活躍中！平均月収35万円！ 正社員
220,株式会社MARUEI | 土日祝休み＊選べる案件＊”働きやすく稼げる環境”を実現！,【施工ディレクター】経験者優遇／月給35万円～／直行直帰OK 正社員
221,株式会社創建 | ＼年収も、環境も、やりがいも！／【大阪府緊急雇用対策に賛同】,100％反響型の【リフォーム営業】業界経験者優遇◎月給35万円～ 正社員
222,株式会社グランド,80％以上が未経験から活躍中！【人材コーディネーター・営業】 正社員
223,株式会社ホンダカーズ三重東 | ★バツグンの安定感★ 年収例:25歳/600万円★平均残業15～20H,★県外への転勤なし！【 営業 】＼ 未経験歓迎 ／ 正社員
224,株式会社ワールド・エステート | 住宅の販売会社／コロナ禍でも直近3ヶ月連続で目標契約本数達成,未経験歓迎【営業スタッフ】ノルマなし/残業月20h程/業績給あり 正社員
225,株式会社総合資格 | 月9日休み／賞与平均6.4ヵ月支給／朝はゆっくり10時出社,月給30万円を保証【 提案営業 】*給与アップを実現できます！ 正社員
226,"株式会社クレス不動産 | 物件を""見つける""仕事です。未経験入社で年収1000万円も可能！",【不動産仕入営業】完全週休2日制＊ムリなく稼げる 正社員
227,株式会社マリモ | 20～30代活躍中/残業月平均13.5h/平均年齢36.2歳/定着率90％,固定給50万円以上も可【不動産営業】経験者優遇／完全週休2日制 正社員
228,広島建設株式会社 | ～千葉に根差して50年の安定基盤があります～★WEB面接実施中★,◎転勤なし◎分譲住宅・注文住宅の【提案営業】※100％反響型 正社員
229,株式会社大阪ボイラー製作所 | 設立95年の安定基盤！年休120日×残業ほぼなしで働きやすさ◎,育成枠採用！老舗専門メーカーで活躍する【資材管理】※土日祝休 正社員
230,株式会社エールホーム | ☆宅建の有資格者は優遇！月給25万円スタートも可能です！,【賃貸営業】新拠点立ち上げに伴う《将来の責任者候補》を募集！ 正社員
231,株式会社さなる | ＜WEB面接も実施中＞人柄重視の採用・未経験歓迎・充実した研修,佐鳴予備校【総合職(教育カウンセラー/集団指導/個別指導教師)】 正社員
232,エムケイ西日本グループ株式会社 | 【大阪府緊急雇用対策に賛同】2019年度 平均年収実績：575万円！,【グランドパイロット(役員送迎・VIP送迎/空港送迎)】 正社員
233,株式会社　日本経営 | 創業53年！20代の入社実績も多数（教育体制充実）のコンサル企業,希望/適性で業務を担当【営業系総合職(営業アシスタント/営業)】 正社員
234,株式会社大一電業社 | 【東証一部上場のグループ企業】皆勤・資格・家族手当など完備！,実務未経験でもOK！【電気工事士】賞与平均8.5ヶ月分(前年度) 正社員
235,名古屋トヨペット株式会社 | ■トヨタ車の販売店『トヨペット店』を69店舗運営,高収入を目指せる！名古屋トヨペットの【 営業 】＊年休125日＊ 正社員
236,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,池袋校限定募集！【総合職(資格取得アドバイザー・ルート営業)】 正社員
237,株式会社イオンフレックス・ライフマネージメント | ◆隔週週休3日制！立ち上げメンバーとして活躍するチャンスも,平均月収80万円！本気で稼ぎたい方歓迎【 反響営業 】ノルマなし 正社員
238,武田塾 奈良生駒校 | 奈良生駒校、大和八木校、五位堂校|完全週休2日制、残業ほぼなし,授業をしない武田塾の【教室長候補・教務スタッフ】※未経験歓迎 正社員
239,株式会社建築資料研究社 | 景気に左右されない資格系スクール「日建学院」運営★男女活躍中,岐阜校募集【総合職(資格取得アドバイザー／ルート営業)】 正社員
240,株式会社ユニエツクスNCT | 【日本郵船グループ】設立100年★港湾系の総合物流会社,ゼロから始める【港のエンジニア】年休134日★賞与実績5ヶ月以上 正社員
241,株式会社福環 | ☆★面接保証★☆ 条件を満たしている応募者全員とお会いします,【総合職(ルート集荷／ルート営業)】未経験歓迎★残業20h程度 正社員
242,株式会社センターユース | 大手EC商品の配送ドライバー！初期費用0円★未経験OK,必要なのは普通免許のみ！【軽車両ドライバー】※年齢不問 業務委託
243,関東総合設備工事株式会社 | 関電工（東証1部上場）の案件がほぼ100%を占める安定企業！,未経験歓迎！【電気工事士】★入社祝い金有★残業月平均20H以内 正社員
244,東京・日本交通株式会社 | 高槻営業所│売上業界No.1グループ【大阪府緊急雇用対策に賛同】,愛着ある高槻エリアでずっと活躍する【地域密着型乗務員】 正社員
245,株式会社三光金属 | 年商180億円★サスティナブルな社会づくりに貢献する会社,★未経験OK★【 選別作業スタッフ 】ほぼ定時退社で高収入GET！ 正社員
246,関西警備保障株式会社 | 【大阪府緊急雇用対策に賛同】入社祝い金3万☆高収入を目指そう,消防車に乗れちゃう！【警備スタッフ】未経験歓迎/土日祝休もOK 正社員
247,株式会社フォルテ | LEDライト・監視カメラ・音響システムの専門商社,未経験OK！【法人営業】※土日休み／年間休日126日／残業少なめ 正社員
248,株式会社関西広告社 | 今年30代で年収2000万円超えの先輩も在籍！独自の福利厚生が多数,屋外広告のプロフェッショナルへ。【企画営業】※未経験大歓迎 正社員
249,有限会社光和電設 | 【土日休み／年間休日112日／前年度の賞与実績60～120万円】,【総合職(取付スタッフ／電気工事士)】※手取り40万～50万円も可 正社員
250,株式会社モリコーポレーション | 完全週休2日制／土日祝休み／年間休日123日／月給24万円以上,月給24万円スタート！楽しみながら心地良く働く【事務スタッフ】 正社員
251,株式会社ベルハウス | 17年連続で増収増益！安定感は抜群 ★駅徒歩1分の好立地,【不動産営業】★完全週休2日制・未経験から年収800万円以上も！ 正社員
252,落合ＥＮＧ機設株式会社 | 経験者優遇！ ※コロナ対策にマスク、消毒液を支給しています,平均月収40万円以上の【メンテナンススタッフ】直行直帰 業務委託
253,有限会社小山塗装 | 【住友林業/大和ハウス工業/ライフデザイン・カバヤなどと取引】,建築施工の【工程管理】月給25万以上★施工実績岡山トップクラス 正社員
254,株式会社セフティ | 創業36年！京都で安定基盤を築くポルシェ正規ディーラー,"最高峰の車""ポルシェ""の【サービスフロント】※業績好調！ 正社員"
255,丸福ホーム販売株式会社 | 【大阪府緊急雇用対策に賛同】☆夏季や年末年始には10連休も可能,未経験から不動産業界へ！【営業スタッフ】※年収1000万円も可能 正社員
256,奈良建設株式会社 | よこはまグッドバランス賞受賞／東証一部上場企業との取引多数,定着率抜群！創業73年の安定企業で働く【建築施工管理】 正社員
257,株式会社丸藤 | 平均月収30万円以上！自分の裁量で活躍できる新しい働き方を実現,◎頑張りをそのまま還元！【軽運送ドライバー】★未経験OK！ 業務委託
258,株式会社Fun Work | 国家資格・民間資格の取得をサポート！月収50万円以上も可能！,【メンテナンススタッフ】★未経験スタートでも月給26万円～！ 正社員
259,株式会社ヒビヤト | 経験者大歓迎！頑張りはしっかり給与に反映◆100％面接保証,空調・衛生設備の【施工スタッフ】年収800万円以上も可 正社員
260,有限会社エアテック | 景気に左右されない安定感が強み！◆決算賞与あり◆面接1回のみ,＜未経験歓迎＞ダイキン製品の【サービススタッフ】＊30代活躍中 正社員
261,東山管理センター株式会社 | 【公共案件多数でどんな時も安定】★希望の休み＆給与を選択可★,環境インフラを支える【メンテナンススタッフ】★完全週休2日 正社員
262,株式会社サーバントップ | 完全土日祝休み ／ 年間休日120日 ／ 残業少なめ ／ 転勤なし,“最高の年収”と“最高の環境”を両立できる会社！【法人営業】 正社員
263,横浜エンジニアリング株式会社 | 【マイナビ初掲載！】東京・横浜・川崎の水道施設指定工事店,スタートメンバー！【配管工スタッフ】★経験者は月給30万円以上 正社員
264,株式会社LNJ小泉 | （ロジネットジャパングループ）,軽貨物の【宅配ドライバー】運転するのは軽自動車／AT限定でOK！ 正社員
265,ハインツ日本株式会社 | ≪WEB面接実施中≫世界でお馴染みのクラフト・ハインツ日本法人,第二新卒・経験者歓迎★世界的メーカーハインツの【財務経理】 正社員
266,株式会社トリニティ | 大手電力系インターネット光回線／年収1000万円超えも目指せる！,未経験でも不安ゼロ！【提案営業】月給22万円～保障/完全週休2日 正社員
267,株式会社ISOI | ＼今年も業績好調／★応募者全員とお会いします ★WEB面接もOK,ずっと必要とされるスキルを身につけられる【技術スタッフ】 正社員
268,株式会社平成ハイヤー | ★月収50～60万円の先輩もいます★月8～9日休み★免許取得支援有,【ハイヤードライバー】★未経験歓迎★原則定時退社★面接1回 正社員
269,株式会社明輝ハウス | 月給30万円～保証／週休2日／残業少なめ／役職手当最大10万円,【営業】未経験でも入社3ヶ月で役職デビュー＆月収40万以上可能 正社員
270,合同会社LIFE2018 | ★大手企業と取引多数★女性活躍中！基本定時退社で働きやすい！,大手企業などのプロモーションに携わる【総合職】★未経験歓迎！ 契約社員
271,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,【施工管理】月給40万円スタート！※全国募集※経験者採用 正社員
272,株式会社バスク・モーゲージ | 住宅ローン(フラット35)専門金融機関・業界大手ARUHIの代理店,★聞いて→提案★住宅ローン専門金融会社の【窓口/ルート営業】 正社員
273,株式会社エフネット | ☆週休2日制 ☆年休120日以上 ☆大手保険会社の充実の研修制度有,「お客様のため」を追求する【提案営業】☆未経験・第二新卒歓迎 正社員
274,鳥羽建設株式会社 | 滋賀本社／月給25万円～スタート／昨年度の賞与平均4ヶ月分以上,平均年収600万円！【補修・補強スタッフ】※未経験者歓迎 正社員
275,マルイフーズ株式会社 | ◆年休120日以上＆完全週休2日制◆退職金制度あり◆14時完全退社,肉の専門商社で活躍！【店舗運営スタッフ】※店長候補 正社員
276,株式会社共生 | ミツトヨ（測定機器の国内シェアトップクラス！）のグループ会社,【メンテナンススタッフ】 ★年間休日124日・残業は月10時間未満 正社員
277,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,大宮・川口エリア募集【資格取得アドバイザー】★未経験者歓迎 正社員
278,株式会社いいなダイニング | 【大阪府緊急雇用対策に賛同】店長は月収30万可／月最大10日休み,阪急電鉄グループ！クックデリ御膳の【店長候補】※完全週休2日 正社員
279,株式会社ワークナビ.com | 〔 業績好調 〕名古屋・小牧・一宮・大府などに展開！,"『楽しく稼げる会社』""NO.１""を目指す！【法人ルート営業】 正社員"
280,西日本高速道路エンジニアリング中国株式会社 | 【NEXCO西日本グループ】◎年収600万円以上も目指せます！,【土木技術者(管理・点検・設計など)】◎年休120日×完全週休2日 正社員
281,株式会社益田組 | 間もなく設立50年。堅実な経営を続ける総合建設企業,京都の“街並み”を守る【施工管理】未経験OK＆残業少なめ 正社員
282,株式会社建築資料研究社 | 景気に左右されない資格系スクール『日建学院』を運営◆転勤なし,札幌・苫小牧募集【総合職(資格取得アドバイザー／ルート営業)】 正社員
283,株式会社For Realize | 10期目を迎え、年商20倍以上／自社ブランドマンションを展開,業界では珍しい土日休み！経験ゼロから始められる【提案営業】 正社員
284,矢島建設興業株式会社 | 大正10年創業の老舗企業｜経験者募集｜ほぼ100％元請,岐阜密着型の【施工管理】★月給30万円～ ★残業ほぼなし 正社員
285,ステッチ株式会社 | 【ワンストップで課題解決を支援する広告会社】,大手クライアントと直接取引できる【広告営業】 ★リーダー候補 正社員
286,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,富山校募集【総合職(資格取得アドバイザー、システム営業)】 正社員
287,合同会社福太 | 会社の利益はしっかり還元！年間200～400万円の賞与支給実績あり,【店舗スタッフ(オープニング)】未経験スタートでも月給24万円～ 正社員
288,株式会社LINKハウス | 【2020年11月に新拠点がOPEN】※年収1000万円超社員多数！,＼オープニング募集／月給30万円以上保証！【営業】※土日祝休み 正社員
289,株式会社ゲッコー | 《直行直帰・転勤ナシ》＊20代の平均月収⇒約43万円！！,実働6時間＆残業ナシ＊サクッと終わる【技術系総合職】 正社員
290,株式会社ケーシーエス・エス | 大阪府内を中心とした近距離のみ／1日3～4往復,入社2年目の平均月収40万円◎しっかり稼げる【ドライバー】 正社員
291,マニュライフ生命保険株式会社,【コンサルティング営業】完全週休2日(土日)/営業経験者優遇！ 正社員
292,平和自動車交通株式会社 | 《入社祝い金10万円支給》★賞与年3回★希望の働き方が叶う,日本最大級登録者数の新配車アプリ[GO]の【タクシードライバー】 正社員
293,株式会社フォーサイズ | 【激レア求人】未経験から一生モノのスキルが手に入ります！,お部屋を入居前のキレイな状態に変身させる【内装工事スタッフ】 正社員
294,株式会社ハウスポート | アシスタントからスタートできる★のんびりじっくり育てます！,【不動産アドバイザー】★完全週休2日or週休2日／働き方選択可★ 正社員
295,株式会社I.PRICE | 45万円★未経験歓迎★残業少：市場急拡大中のリサイクルサービス,直行直帰型【買取営業】◆未経験でも月収45万以上も可能！残業少 正社員
296,株式会社織田タクシー | ●業界大手kmグループ●独自の“稼げる”賃金体系●賞与年3回,業界大手だから安心！未経験から始める【タクシードライバー】 正社員
297,株式会社オラフズ | 実績多数★『ジャンクSPORTS』『激レアさんを連れてきた。』etc.,【AD/制作進行管理】地上波・Amazon Prime・YouTube等ジャンル◎ 正社員
298,株式会社Linksprout | 大阪府緊急雇用対策に賛同,アプリやWebで店舗PRを担当する【営業推進】／導入実績4万店舗！ 正社員
299,株式会社テラシーク | ★今年もプラス成長で業績好調★フルフレックス&テレワーク導入,未経験OK！高収入可！5年離職者ゼロ！ノルマなし【営業】 正社員
300,株式会社 Branding Engineer | #大阪府緊急雇用対策に賛同 #2020年7月に東証マザース上場,自分の価値をもっとUPできる!【ITエンジニア】※年休125日を確保 正社員
